x,y,type,temperature,stress,title,strain_rate
0.003154257,80.4867706,,,,,
0.003162052,80.54702158,,,,,
0.003169847,80.60720931,,,,,
0.003177643,80.66733395,,,,,
0.003185438,80.72739549,,,,,
0.003193233,80.78739405,,,,,
0.003201028,80.84732965,,,,,
0.003208823,80.90720241,,,,,
0.003216617,80.96701238,,,,,
0.003224412,81.02675963,,,,,
0.003232207,81.08644421,,,,,
0.003240001,81.1460662,,,,,
0.003247796,81.2056257,,,,,
0.003255591,81.26512274,,,,,
0.003263385,81.3245574,,,,,
0.003271179,81.38392975,,,,,
0.003278974,81.44323984,,,,,
0.003286768,81.50248775,,,,,
0.003294562,81.56167359,,,,,
0.003302356,81.62079736,,,,,
0.003310151,81.67985917,,,,,
0.003317945,81.73885906,,,,,
0.003325739,81.79779708,,,,,
0.003333533,81.85667335,,,,,
0.003341326,81.91548793,,,,,
0.00334912,81.97424085,,,,,
0.003356914,82.03293221,,,,,
0.003364708,82.09156206,,,,,
0.003372501,82.15013046,,,,,
0.003380295,82.20863745,,,,,
0.003388088,82.26708316,,,,,
0.003395882,82.32546763,,,,,
0.003403675,82.38379092,,,,,
0.003411468,82.44205309,,,,,
0.003419262,82.50025421,,,,,
0.003427055,82.55839435,,,,,
0.003434848,82.61647355,,,,,
0.003442641,82.67449192,,,,,
0.003450434,82.7324495,,,,,
0.003458227,82.79034634,,,,,
0.00346602,82.84818255,,,,,
0.003473813,82.90595815,,,,,
0.003481605,82.96367319,,,,,
0.003489398,83.02132785,,,,,
0.003497191,83.07892199,,,,,
0.003504983,83.13645585,,,,,
0.003512776,83.19392944,,,,,
0.003520568,83.2513428,,,,,
0.003528361,83.30869604,,,,,
0.003536153,83.36598915,,,,,
0.003543945,83.4232223,,,,,
0.003551737,83.48039545,,,,,
0.003559529,83.53750871,,,,,
0.003567322,83.59456215,,,,,
0.003575114,83.6515558,,,,,
0.003582905,83.70848975,,,,,
0.003590697,83.76536407,,,,,
0.003598489,83.82217881,,,,,
0.003606281,83.87893404,,,,,
0.003614073,83.93562975,,,,,
0.003621864,83.99226615,,,,,
0.003629656,84.04884319,,,,,
0.003637447,84.10536095,,,,,
0.003645239,84.16181951,,,,,
0.00365303,84.21821892,,,,,
0.003660822,84.27455925,,,,,
0.003668613,84.33084054,,,,,
0.003676404,84.3870629,,,,,
0.003684195,84.44322633,,,,,
0.003691986,84.49933093,,,,,
0.003699778,84.55537677,,,,,
0.003707569,84.61136389,,,,,
0.003715359,84.66729236,,,,,
0.00372315,84.72316223,,,,,
0.003730941,84.77897356,,,,,
0.003738732,84.83472643,,,,,
0.003746522,84.89042087,,,,,
0.003754313,84.94605697,,,,,
0.003762104,85.00163478,,,,,
0.003769894,85.05715435,,,,,
0.003777685,85.11261578,,,,,
0.003785475,85.16801909,,,,,
0.003793265,85.22336434,,,,,
0.003801055,85.2786516,,,,,
0.003808846,85.33388094,,,,,
0.003816636,85.3890524,,,,,
0.003824426,85.44416606,,,,,
0.003832216,85.49922197,,,,,
0.003840006,85.55422018,,,,,
0.003847796,85.60916077,,,,,
0.003855585,85.66404378,,,,,
0.003863375,85.71886928,,,,,
0.003871165,85.77363733,,,,,
0.003878955,85.82834799,,,,,
0.003886744,85.88300131,,,,,
0.003894534,85.93759736,,,,,
0.003902323,85.99213619,,,,,
0.003910112,86.04661784,,,,,
0.003917902,86.10104243,,,,,
0.003925691,86.15540996,,,,,
0.00393348,86.20972051,,,,,
0.003941269,86.26397413,,,,,
