param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
output,g138_phi_2,1,10,0.27434261611688293,0,0.34175097926517467
output,g139_phi_1,1,10,0.5062072830522553,0,0.5429498488141788
output,g139_Phi,1,10,0.45502768235678076,0,0.4689820589625703
output,g139_phi_2,1,10,-10,0,0.7981394099749288
output,g140_phi_1,1,10,-0.20603509471936918,0,-0.06919355079906603
output,g140_Phi,1,10,0.3676167921346756,0,0.391922621374344
output,g140_phi_2,1,10,0.4470649582664828,0,0.48003570322880135
output,g141_phi_1,1,10,0.21484384804769785,0,0.22302842697225214
output,g141_Phi,1,10,0.20569145357950563,0,0.21412826182340985
output,g141_phi_2,1,10,0.6088895762624476,0,0.6168429595348666
output,g142_phi_1,1,10,0.1736232576980815,0,0.20338649166047773
output,g142_Phi,1,10,0.21758921496509517,0,0.27086508873977855
output,g142_phi_2,1,10,0.4952528600711832,0,0.5094310382437169
output,g143_phi_1,1,10,-0.20228938626785165,0,-0.11268658707280887
output,g143_Phi,1,10,0.3778524190067545,0,0.3944341685988745
output,g143_phi_2,1,10,0.4346327661741422,0,0.4587435774200478
output,g144_phi_1,1,10,-0.19424774519932694,0,-0.06474975938835542
output,g144_Phi,1,10,0.4167236975467344,0,0.43751274526480405
output,g144_phi_2,1,10,0.5299818557839754,0,0.5601219242961956
output,g146_phi_1,1,10,0.05751396010659051,0,0.09247501292597991
output,g146_Phi,1,10,0.40866387406381066,0,0.4325203413589294
output,g146_phi_2,1,10,0.4715117369769623,0,0.49679131570004237
output,g147_phi_1,1,10,0.0005642161653756038,0,0.07202920082792183
output,g147_Phi,1,10,0.277907045047425,0,0.3150251993126049
output,g147_phi_2,1,10,0.5442293237792281,0,0.5578198775907917
output,g148_phi_1,1,10,-0.5450637191971509,0,-0.2730202728629665
output,g148_Phi,1,10,0.29556709996247904,0,0.31659930209386083
output,g148_phi_2,1,10,0.5069242421317748,0,0.5178817789483611
output,g149_phi_1,1,10,0.2306021747405311,0,0.2558511787157744
output,g149_Phi,1,10,0.25858939756146077,0,0.302936699704866
output,g149_phi_2,1,10,0.5349267769756988,0,0.5428627572586373
output,g150_phi_1,1,10,0.37777963628798134,0,0.4405627672619206
output,g150_Phi,1,10,0.3157394996083389,0,0.3516997004052663
output,g150_phi_2,1,10,0.6151290589592654,0,0.6436105730456083
output,g151_phi_1,1,10,0.29670905617560334,0,0.3426792335874767
output,g151_Phi,1,10,0.30397320254030624,0,0.33527732503192925
output,g151_phi_2,1,10,0.6970112686994471,0,0.701887328767573
output,g152_phi_1,1,10,0.11048869983666935,0,0.15121657885645604
output,g152_Phi,1,10,0.22442946182269766,0,0.24435135283038073
output,g152_phi_2,1,10,0.5794405971397972,0,0.5931420169020318
output,g153_phi_1,1,10,-0.16537586778525398,0,-0.05071247942549207
output,g153_Phi,1,10,0.29021274691952875,0,0.2998558147042672
output,g153_phi_2,1,10,0.43700496547730344,0,0.450787792072898
output,g154_phi_1,1,10,0.3063177811044322,0,0.33567850235656593
output,g154_Phi,1,10,0.3199592290701813,0,0.3395508108256714
output,g154_phi_2,1,10,0.6916560434981466,0,0.697281664244258
output,g155_phi_1,1,10,0.3384963353074816,0,0.3651883681270993
output,g155_Phi,1,10,0.3370397399203781,0,0.3515644152041046
output,g155_phi_2,1,10,0.6486624478733192,0,0.6612919770656032
output,g156_phi_1,1,10,0.16699223083011008,0,0.19876702100940863
output,g156_Phi,1,10,0.35518323600967494,0,0.369976134872427
output,g156_phi_2,1,10,0.5878904811863545,0,0.6034475148146036
output,g157_phi_1,1,10,0.6101062974863126,0,0.6454124435709288
output,g157_Phi,1,10,0.45507337592112435,0,0.4798918828208561
output,g157_phi_2,1,10,-2.622566248296611,0,0.7978074757029923
output,g158_phi_1,1,10,0.2449941661396689,0,0.29185704623146
output,g158_Phi,1,10,0.3680822440064455,0,0.3988424030292701
