param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g51_phi_2,1,0,0.504158112255195,10,0.486203708021318
output,g53_phi_1,1,0,0.3877456596088637,10,0.3782706830963576
output,g53_Phi,1,0,0.388988785124714,10,0.3744550524099625
output,g53_phi_2,1,0,0.6422468238078911,10,0.6322750324848105
output,g54_phi_1,1,0,0.30178934676871855,10,0.2892544080541807
output,g54_Phi,1,0,0.41540742545013654,10,0.4044060509212693
output,g54_phi_2,1,0,0.6924855910416522,10,0.6845581298337419
output,g56_phi_1,1,0,0.3027420797231625,10,0.27212020880109655
output,g56_Phi,1,0,0.4173554229035787,10,0.4133500655482389
output,g56_phi_2,1,0,0.6893621435211967,10,0.6765930245187534
output,g57_phi_1,1,0,0.4155242183732294,10,0.40184839139551765
output,g57_Phi,1,0,0.372599050995377,10,0.3593990721808866
output,g57_phi_2,1,0,0.6380897219845056,10,0.6308345178280506
output,g58_phi_1,1,0,0.13328336586098916,10,0.10006022393115253
output,g58_Phi,1,0,0.4014867017741694,10,0.39488925716741874
output,g58_phi_2,1,0,0.5989326957829272,10,0.5899607655647773
output,g59_phi_1,1,0,0.25132181231558814,10,0.21995108575531697
output,g59_Phi,1,0,0.3586580686195496,10,0.34772021703403816
output,g59_phi_2,1,0,0.6400837313731202,10,0.6324269208792883
output,g60_phi_1,1,0,0.4209948296439575,10,0.308009186238258
output,g60_Phi,1,0,0.48630293483116044,10,0.47886938609681234
output,g60_phi_2,1,0,0.6576867475998311,10,0.599784853673271
output,g61_phi_1,1,0,-0.19234998705787473,10,-0.3014905919739929
output,g61_Phi,1,0,0.3927321173811297,10,0.37896084677089187
output,g61_phi_2,1,0,0.416607226792504,10,0.39317142883688994
output,g62_phi_1,1,0,0.19667350048806037,10,0.13830269816628143
output,g62_Phi,1,0,0.3128752222390458,10,0.3063177811044322
output,g62_phi_2,1,0,0.6641905259500858,10,0.6610171701052727
output,g63_phi_1,1,0,0.33795816367970083,10,0.2654310668267125
output,g63_Phi,1,0,0.4867704132389434,10,0.47814787064327346
output,g63_phi_2,1,0,0.6120947947255777,10,0.5707180233278902
output,g64_phi_1,1,0,-0.3875870408045854,10,-0.5440593585474953
output,g64_Phi,1,0,0.37865222490850076,10,0.37505975358581245
output,g64_phi_2,1,0,0.5377813286936769,10,0.5252262653242209
output,g66_phi_1,1,0,0.22610991999127383,10,0.21346462903955585
output,g66_Phi,1,0,0.21465843887991837,10,0.20709554041921804
output,g66_phi_2,1,0,0.6117339263245242,10,0.6099997038422306
output,g67_phi_1,1,0,-0.10929960230112488,10,-0.15310027811753854
output,g67_Phi,1,0,0.3323980585497542,10,0.30489964033286515
output,g67_phi_2,1,0,0.4947110252052627,10,0.4843567922656141
output,g68_phi_1,1,0,0.3590952236525777,10,0.34297506780924486
output,g68_Phi,1,0,0.3652258315286238,10,0.3497824533634708
output,g68_phi_2,1,0,0.6711358010943602,10,0.6664992605616926
output,g69_phi_1,1,0,-0.1664385609531041,10,-0.2667866799413242
output,g69_Phi,1,0,0.41840073668488703,10,0.3887581878491046
output,g69_phi_2,1,0,0.4896772916636985,10,0.47529337665910315
output,g70_phi_1,1,0,0.008472419302722143,10,-0.07142493582260578
output,g70_Phi,1,0,0.34279759145936756,10,0.3135297732022901
output,g70_phi_2,1,0,0.5165485942267515,10,0.5044164873244589
output,g72_phi_1,1,0,-0.7347811119000401,10,-2.085403005564734
